,SRM1950_1,SRM1950_2,SRM1950_3,SRM1950_4,AA_1,AA_2,AA_3,AA_4,T1D_1,T1D_2,T1D_3,T1D_4
O-LPC 18:0,0.115427311,0.110925674,0.076562871,0.08516817,0.154087346,0.29604109,0.302954002,0.10806876,0.151291375,0.186966751,0.095969252,0.194920795
O-LPC 20:0,0.037424212,0.034810017,0.024090188,0.034582515,0.041149942,0.055897364,0.070410119,0.025186504,0.028118213,0.02681749,0.029122324,0.04328856
O-LPE 16:0,0.003700616,0.002482459,0.002094493,0.003483439,0.014246553,0.018538666,0.024753907,0.00952866,0.005181516,0.00456892,0.005361178,0.007031618
O-LPE 16:1,0.059529169,0.056367138,0.044746505,0.077912479,0.335796031,0.37662224,0.58249021,0.21529398,0.128435167,0.098000515,0.113488607,0.147801994
O-LPE 18:0,0.001743937,0.002926538,0.001462493,0.002242749,0.00334797,0.00630821,0.00695933,0.002729482,0.004768092,0.004083386,0.003579145,0.004489368
O-LPE 18:1,0.034282189,0.029882009,0.020840046,0.02338835,0.038620534,0.050196384,0.059762421,0.021532193,0.020013264,0.022198367,0.017911617,0.03355391
O-LPE 18:2,0.027963999,0.026113525,0.020598189,0.029593959,0.14144146,0.203014774,0.21586692,0.079936006,0.044888987,0.040552155,0.037068626,0.053657699
O-LPA 18:0,0.046462484,0.039213341,0.026973788,0.036977439,0.04275939,0.064158606,0.085964832,0.024704285,0.029775914,0.031385503,0.029999107,0.049394252
dhCer 16:01,0.012800417,0.011826959,0.011882061,0.00471837,0.011079459,0.00666102,0.012680728,0.010187989,0.007443025,0.011848374,0.088122956,0.015679295
dhCer 18:01,0.00150698,0.002013253,0.001971981,0.036593089,0.000783151,0.001583251,0.001101835,0.002594528,0.001506896,0.001456307,0.022854164,0.002164731
dhCer 20:01,0.009378352,0.006419864,0.0072074,0.093577087,0.005302444,0.004678398,0.030474939,0.005014577,0.005005936,0.010708645,0.01045213,0.012358175
dhCer 22:01,0.029701519,0.022781454,0.026504555,0.229078604,0.010861236,0.011461161,0.059746025,0.00466146,0.013646974,0.025254829,0.016740638,0.033161343
dhCer 24:01,0.028254829,0.031001256,0.024721387,0.316698988,0.020490525,0.016466097,0.074403308,0.005157455,0.011657188,0.023837803,0.028572584,0.030837769
P-LPA 16:0,0.003378586,0.002038036,0.001834742,0.001904929,0.001394486,0.001266476,0.003097715,0.000934,0.002121857,0.001221996,0.000816,0.003155911
P-LPA 16:1,0.005997644,0.006432787,0.004389429,0.004488917,0.007437988,0.009128686,0.010844697,0.003544083,0.008927939,0.005438697,0.004678666,0.007328269
P-LPA 18:0,0.033961581,0.032255716,0.024206718,0.027795619,0.037132986,0.051419258,0.06531611,0.019082872,0.022197983,0.023635368,0.017451038,0.033319256
P-LPC 16:0,0.050233913,0.048788854,0.031912037,0.048229398,0.127491447,0.188430253,0.231891419,0.073965238,0.074891771,0.06937784,0.070400054,0.099807453
P-LPC 16:1,0.000597853,0.000463366,0.000337755,0.000421175,0.000827785,0.00121497,0.001398665,0.000580829,0.000643139,0.000712411,0.000430666,0.000757731
P-LPC 18:0,0.01787743,0.01614645,0.010983274,0.012088352,0.014150705,0.021152329,0.025151669,0.008099488,0.01847216,0.01787586,0.012993516,0.02362416
P-LPC 18:1,0.001215048,0.001155111,0.000692034,0.001021431,0.002428108,0.004002636,0.004142625,0.001636395,0.001164402,0.001411053,0.000839145,0.001441925
P-LPC 20:0,0.005714355,0.006055021,0.003821084,0.004701368,0.007568695,0.01309981,0.015026501,0.00496729,0.006235649,0.007144579,0.004527646,0.008143011
P-LPC 20:1,0.000625547,0.000600154,0.000510274,0.0006059,0.000706225,0.001571608,0.00153972,0.000439769,0.00063501,0.000735264,0.000557889,0.000924266
